node_id,name,jurisdiction,jurisdiction_description,country_codes,countries
10000511,Decimus Holdings Limited,SAM,Samoa,LIE,Liechtenstein
10000451,RED HILL COMPANY LTD.,SAM,Samoa,GTM,Guatemala
10000452,MICHT FINANCIAL INC.,SAM,Samoa,CHE,Switzerland
10000453,KING INT'L TRADING INC.,SAM,Samoa,HKG,Hong Kong
10000454,NEW SILK ROAD SHIPPING LIMITED,SAM,Samoa,HKG,Hong Kong
10000455,STRATEGIC COMMUNICATION EURO INT LTD,SAM,Samoa,HKG,Hong Kong
10000456,CHIA SHENG INTERNATIONAL LIMITED,SAM,Samoa,TWN,Taiwan
10000457,MCS SERVICES LIMITED,SAM,Samoa,JEY,Jersey
10000458,IC - IMPROVEMENT INC.,SAM,Samoa,BRA,Brazil
10000459,RICHLAKE DEVELOPMENT LTD.,SAM,Samoa,HKG,Hong Kong
10000460,POINT TRADING CO. LTD.,SAM,Samoa,TWN,Taiwan
10000461,DESHON TYRES PTY LTD,SAM,Samoa,HKG,Hong Kong
10000462,GRANDWIN INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000463,KELBY LIMITED,SAM,Samoa,ISR,Israel
10000464,LORIMAR INTERNATIONAL S.A.,SAM,Samoa,PAN,Panama
10000465,POLYMOUNT INTERNATIONAL LTD.,SAM,Samoa,HKG,Hong Kong
10000466,Hellenic International Ltd.,SAM,Samoa,HKG,Hong Kong
10000467,MEGA YIELD INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000479,OSRI TRADING S. A.,PMA,Panama,DEU,Germany
10000480,JARAL PROPERTIES LTD.,SAM,Samoa,CHE,Switzerland
10000483,BUTTERFLY HOLDINGS LIMITED,SAM,Samoa,ISR,Israel
10000468,Qingdao Spark Logistics Appliance Co. Ltd,SAM,Samoa,HKG,Hong Kong
10000469,TOP GROUP LTD.,SAM,Samoa,HKG,Hong Kong
10000470,Kenel Health International Limited,SAM,Samoa,HKG,Hong Kong
10000471,OCEAN WINNER LTD.,SAM,Samoa,HKG,Hong Kong
10000472,ECOPACK INDUSTRIAL LIMITED,SAM,Samoa,HKG,Hong Kong
